Date,Close
2005-08-05,211.45
2005-08-12,210.28
2005-08-26,207.93
2005-09-02,213.17
2005-09-09,219.18
2005-09-16,218.45
2005-09-23,214.35
2005-09-30,215.72
2005-10-07,208.39
2005-10-14,206.34
2005-10-21,205.38
2005-10-28,207.6
2005-11-04,216.43
2005-11-11,221.45
2005-11-18,224.36
2005-11-25,225.29
2005-12-02,223.24
2005-12-09,222.68
2005-12-16,221.62
2005-12-23,225.32
2005-12-30,221.32
2006-01-06,227.38
2006-01-13,228.79
2006-01-20,226.05
2006-01-27,227.36
2006-02-03,227.99
2006-02-10,224.03
2006-02-17,231.21
2006-02-24,232.79
2006-03-03,232.17
2006-03-10,229.25
2006-03-17,232.97
2006-03-24,231.01
2006-03-31,231.79
2006-04-07,223.76
2006-04-21,222.07
2006-04-28,221.26
2006-05-05,221.26
2006-05-12,212.96
2006-05-19,208.9
2006-05-26,212.73
2006-06-02,215.91
2006-06-09,208.73
2006-06-16,206.77
2006-06-23,203.64
2006-06-30,208.11
2006-07-07,207.64
2006-07-14,199.82
2006-07-21,199.54
2006-07-28,207.57
2006-08-04,207.58
2006-08-11,201.77
2006-08-18,208.45
2006-08-25,207.83
2006-09-01,212.4
2006-09-08,208.71
2006-09-15,212.68
2006-09-22,210.26
2006-09-29,213.35
2006-10-06,217.86
2006-10-13,220.47
2006-10-20,222.46
2006-10-27,222.94
2006-11-03,220.7
2006-11-10,222.4
2006-11-17,226.68
2006-11-24,225.96
2006-12-01,222.98
2006-12-08,226.29
2006-12-15,225.1
2006-12-22,222.11
2006-12-29,221.52
2007-01-05,223.83
2007-01-12,229.18
2007-01-19,230.07
2007-01-26,226.39
2007-02-02,230.5
2007-02-09,229.93
2007-02-16,230.47
2007-02-23,231.15
2007-03-02,215.98
2007-03-09,217.14
2007-03-16,215.26
2007-03-23,221.97
2007-03-30,221.2
2007-04-13,231.44
2007-04-20,235.68
2007-04-27,240.14
2007-05-04,241.05
2007-05-11,234.1
2007-05-18,232.71
2007-05-25,234.42
2007-06-01,238.66
